date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:43:03	128/128	---M-Z	200	added ('OK')	text/plain	etag:%222932-1669232878;gz%22	https://caseiroslucrativos.online/robots.txt		(from )
23:43:05	114270/114270	---M-Z	200	added ('OK')	text/html	etag:%223630-1669396567;gz%22	https://caseiroslucrativos.online/ic/	C:/Users/pedro/Downloads/dss/caseiroslucrativos.online/ic/index.html	(from )
23:43:06	19279/19279	---M-Z	200	added ('OK')	text/css	etag:%224b4f-63718dbf-8988f0a5d7b0e4e5;gz%22	https://caseiroslucrativos.online/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.16.0	C:/Users/pedro/Downloads/dss/caseiroslucrativos.online/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min91ce.css	(from https://caseiroslucrativos.online/ic/)
23:43:06	103736/103736	---M-Z	200	added ('OK')	text/css	etag:%2219538-63718dbf-d983ba51a8ec63cf;gz%22	https://caseiroslucrativos.online/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.8.1	C:/Users/pedro/Downloads/dss/caseiroslucrativos.online/wp-content/plugins/elementor/assets/css/frontend-lite.min7e2e.css	(from https://caseiroslucrativos.online/ic/)
23:43:06	1160/1160	---M-Z	200	added ('OK')	text/css	etag:%22488-63720eb0-775f6aad00702000;gz%22	https://caseiroslucrativos.online/wp-content/uploads/elementor/css/post-6.css?ver=1668419248	C:/Users/pedro/Downloads/dss/caseiroslucrativos.online/wp-content/uploads/elementor/css/post-6dd82.css	(from https://caseiroslucrativos.online/ic/)
23:43:06	11530/11530	---M-Z	200	added ('OK')	text/css	etag:%222d0a-63644d8c-8a3550ca5b9c5ec3;gz%22	https://caseiroslucrativos.online/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min.css?ver=3.7.3	C:/Users/pedro/Downloads/dss/caseiroslucrativos.online/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min1ac1.css	(from https://caseiroslucrativos.online/ic/)
23:43:06	39603/39603	---M-Z	200	added ('OK')	text/css	etag:%229ab3-63720eb1-37cb6343542696fb;gz%22	https://caseiroslucrativos.online/wp-content/uploads/elementor/css/global.css?ver=1668419249	C:/Users/pedro/Downloads/dss/caseiroslucrativos.online/wp-content/uploads/elementor/css/globala978.css	(from https://caseiroslucrativos.online/ic/)
23:43:07	47747/47747	---M-Z	200	added ('OK')	text/css	etag:%22ba83-6380f857-eb08c1b977b8daf4;gz%22	https://caseiroslucrativos.online/wp-content/uploads/elementor/css/post-77.css?ver=1669396567	C:/Users/pedro/Downloads/dss/caseiroslucrativos.online/wp-content/uploads/elementor/css/post-77e6e0.css	(from https://caseiroslucrativos.online/ic/)
23:43:07	57912/57912	---M-Z	200	added ('OK')	text/css	etag:%22e238-63718dbf-cfabe228e33c8b4c;gz%22	https://caseiroslucrativos.online/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	C:/Users/pedro/Downloads/dss/caseiroslucrativos.online/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from https://caseiroslucrativos.online/ic/)
23:43:07	677/677	---M-Z	200	added ('OK')	text/css	etag:%222a5-63718dbf-d4f499bdf6727a2e;gz%22	https://caseiroslucrativos.online/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css?ver=5.15.3	C:/Users/pedro/Downloads/dss/caseiroslucrativos.online/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min52d5.css	(from https://caseiroslucrativos.online/ic/)
23:43:08	669/669	---M-Z	200	added ('OK')	text/css	etag:%2229d-63718dbf-f0359793352dae4c;gz%22	https://caseiroslucrativos.online/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3	C:/Users/pedro/Downloads/dss/caseiroslucrativos.online/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min52d5.css	(from https://caseiroslucrativos.online/ic/)
23:43:08	89684/89684	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215e54-63644c13-891615b89adaa45e;gz%22	https://caseiroslucrativos.online/wp-includes/js/jquery/jquery.min.js?ver=3.6.1	C:/Users/pedro/Downloads/dss/caseiroslucrativos.online/wp-includes/js/jquery/jquery.mina7a0.js	(from https://caseiroslucrativos.online/ic/)
23:43:09	11224/11224	---M-Z	200	added ('OK')	application/x-javascript	etag:%222bd8-63644c13-38aa4417f0c0fa4f;gz%22	https://caseiroslucrativos.online/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/Users/pedro/Downloads/dss/caseiroslucrativos.online/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://caseiroslucrativos.online/ic/)
23:43:09	1317/1317	---M-Z	200	added ('OK')	application/x-javascript	etag:%22525-63644e39-58eb3fc27c99d00d;gz%22	https://caseiroslucrativos.online/wp-content/plugins/pixelyoursite/dist/scripts/jquery.bind-first-0.2.3.min.js?ver=6.1.1	C:/Users/pedro/Downloads/dss/caseiroslucrativos.online/wp-content/plugins/pixelyoursite/dist/scripts/jquery.bind-first-0.2.3.min6a4d.js	(from https://caseiroslucrativos.online/ic/)
